task,arm,arm_label,commit_hash,start_time_utc,end_time_utc,wall_clock,wall_clock_seconds,output_tokens,total_tokens,implied_input_tokens,cost_basis,cost_intro_usd,cost_standard_usd,outcome,dod_met,validator_pass,validator_fail,own_test_pass,own_test_fail,own_test_notes,files_changed_count,diff_insertions,diff_deletions,self_assessed_confidence
1,C,Sonnet 5 solo,d7e2201,2026-07-03T15:18:36Z,2026-07-03T15:20:32Z,1m56s,116,11744,43935,32191,actual,0.18,0.27,completed,yes,519,0,,,manual YAML parse only; no automated test file,1,36,0,High
1,B,l00prite stack,8619e50,2026-07-03T15:29:42Z,2026-07-03T15:35:36Z,5m54s,354,32720,135366,102646,floor_estimate,0.53,0.80,completed,yes,519,0,,,manual YAML parse + GitHub Actions JSON Schema validation (ok); no automated test file,1,38,0,High
2,C,Sonnet 5 solo,20df306,2026-07-03T15:38:36Z,2026-07-03T15:44:35Z,5m59s,359,32261,85747,53486,actual,0.43,0.64,completed,yes,519,0,,,manual demo only (scratch heartbeat.json); no automated test file,4,395,6,High
2,B,l00prite stack,41c2b23,2026-07-03T15:46:48Z,2026-07-03T16:10:26Z,23m38s,1418,122887,361220,238333,floor_estimate,1.71,2.56,completed,yes,519,0,9,0,execution-harness.test.js; includes write-error-path case,9,817,17,High
3,C,Sonnet 5 solo,989fbf1,2026-07-03T16:13:14Z,2026-07-03T16:29:24Z,16m10s,970,96987,186882,89895,actual,1.15,1.73,completed,yes,519,0,33,0,compliant-mode run; separate violation/selftest mode caught 8/8 expected failures (25 pass / 8 fail) proving discrimination,19,1646,6,High
3,B,l00prite stack,f4b3fc9,2026-07-03T16:32:14Z,2026-07-03T17:02:59Z,30m45s,1845,162061,383760,221699,floor_estimate,2.06,3.10,completed,yes,519,0,91,0,4 boundary scenarios + negative control + bug-injection selftest,10,1551,11,High
